id,visitors
air_00a91d42b08b08d9_2017-04-23,2.9568798805607357
air_00a91d42b08b08d9_2017-04-24,22.26299861284891
air_00a91d42b08b08d9_2017-04-25,28.059944229142115
air_00a91d42b08b08d9_2017-04-26,26.13290307868558
air_00a91d42b08b08d9_2017-04-27,30.863913847309767
air_00a91d42b08b08d9_2017-04-28,37.39265247573946
air_00a91d42b08b08d9_2017-04-29,11.488543335566877
air_00a91d42b08b08d9_2017-04-30,2.9572201861458463
air_00a91d42b08b08d9_2017-05-01,22.194814461742393
air_00a91d42b08b08d9_2017-05-02,28.567100533611985
air_00a91d42b08b08d9_2017-05-03,23.06642941676211
air_00a91d42b08b08d9_2017-05-04,26.7526502416035
air_00a91d42b08b08d9_2017-05-05,31.628614346135592
air_00a91d42b08b08d9_2017-05-06,14.112782977703649
air_00a91d42b08b08d9_2017-05-07,2.696877508873837
air_00a91d42b08b08d9_2017-05-08,22.19547958438675
air_00a91d42b08b08d9_2017-05-09,28.567667596704496
air_00a91d42b08b08d9_2017-05-10,26.694848598078742
air_00a91d42b08b08d9_2017-05-11,31.525702513088582
air_00a91d42b08b08d9_2017-05-12,37.36089294313832
air_00a91d42b08b08d9_2017-05-13,14.113208799550987
air_00a91d42b08b08d9_2017-05-14,2.6971882903329387
air_00a91d42b08b08d9_2017-05-15,22.196143836238882
air_00a91d42b08b08d9_2017-05-16,28.56823345862358
air_00a91d42b08b08d9_2017-05-17,26.695472067559017
air_00a91d42b08b08d9_2017-05-18,31.52636815079309
air_00a91d42b08b08d9_2017-05-19,37.361698837615286
air_00a91d42b08b08d9_2017-05-20,14.113635295016078
air_00a91d42b08b08d9_2017-05-21,2.697498780746995
air_00a91d42b08b08d9_2017-05-22,22.196808117310912
air_00a91d42b08b08d9_2017-05-23,28.56880055318439
air_00a91d42b08b08d9_2017-05-24,26.696093378221548
air_00a91d42b08b08d9_2017-05-25,31.527036419195326
air_00a91d42b08b08d9_2017-05-26,37.362507917105305
air_00a91d42b08b08d9_2017-05-27,14.825629639469598
air_00a91d42b08b08d9_2017-05-28,2.6978096327535646
air_00a91d42b08b08d9_2017-05-29,22.791988955189694
air_00a91d42b08b08d9_2017-05-30,28.56936888048875
air_00a91d42b08b08d9_2017-05-31,26.696715800067544
air_0164b9927d20bcc3_2017-04-23,1.7569821350371873
air_0164b9927d20bcc3_2017-04-24,4.150275038980951
air_0164b9927d20bcc3_2017-04-25,6.7316728061309155
air_0164b9927d20bcc3_2017-04-26,7.577898140865933
air_0164b9927d20bcc3_2017-04-27,7.1977473207955
air_0164b9927d20bcc3_2017-04-28,8.547173197864211
